,Users,Movie,Rating
81,17,Dawn of the Planet of the Apes,3.8
82,17,Forushande,6.8
83,17,Inland Empire,3.2
84,17,The Exception,3
85,18,The Imaginarium of Doctor Parnassus,4.1
86,18,"Crazy, Stupid, Love.",4.3
87,18,Annabelle,6.9
88,18,The Bourne Ultimatum,5.4
89,18,Avatar,8.9
90,19,Wrath of the Titans,6
91,19,The King's Speech,4.7
92,19,Ted 2,5
93,19,Shin Gojira,4.5
94,19,Men in Black 3,6.6
95,20,Absolutely Anything,4.2
96,20,Hands of Stone,2.1
97,20,The Prestige,6.5
98,20,Jennifer's Body,8.3
99,20,The Lego Movie,9.2
100,21,Amateur Night,6.9
101,21,Unstoppable,2.8
102,21,The Ticket,4.5
103,21,Sex and the City 2,7.4
104,21,The King's Speech,4
105,22,La La Land,6.3
106,22,Chappie,8.9
107,22,Grindhouse,9.5
108,22,The Daughter,3.4
109,22,Search Party,6.4
110,23,Scream 4,6.9
111,23,Grimsby,4.7
112,23,Superman Returns,7.5
113,23,Maze Runner: The Scorch Trials,7.2
114,23,21,8.9
115,24,Transcendence,9.5
116,24,The Hunger Games: Mockingjay - Part 1,5.7
117,24,Blair Witch,5.6
118,24,Diary of a Wimpy Kid: Rodrick Rules,5.1
119,24,Melancholia,7.3
120,25,Sisters,5.5
121,25,Life as We Know It,6.8
122,25,Pain & Gain,3.3
123,25,Step Up 2: The Streets,2.3
124,25,Bone Tomahawk,3
125,26,Miss Peregrine's Home for Peculiar Children,8.8
126,26,Super,8.7
127,26,The Pursuit of Happyness,5.4
128,26,Hacker,6.6
129,26,The Da Vinci Code,4.7
130,27,The Social Network,3.4
131,27,The Best of Me,2.6
132,27,The Do-Over,3.8
133,27,Funny Games,3.3
134,27,Frantz,7.3
135,28,"I, Daniel Blake",4.9
136,28,Pan,5.7
137,28,Unstoppable,9.9
138,28,Rock of Ages,3.4
139,28,Custody,4.5
140,29,Devil's Knot,4.6
141,29,Kick-Ass,7.1
142,29,Twilight,3.2
143,29,Transformers: Revenge of the Fallen,7.5
144,29,Brooklyn,4.4
145,30,Marie Antoinette,4.1
146,30,Why Him?,8.6
147,30,Koe no katachi,7.3
148,30,The Prestige,4.5
149,30,Final Destination 5,6.5
150,31,How to Train Your Dragon,5.9
151,31,A Monster Calls,8.7
152,31,The Invitation,7.9
153,31,Planet Terror,6
154,31,Noah,3.5
155,32,Horns,6.8
156,32,The Jungle Book,9.8
157,32,Warrior,4.2
158,32,The Amazing Spider-Man 2,4.6
159,32,The Internship,9.3
160,33,The Avengers,8.3
161,33,Resident Evil: The Final Chapter,6.6
162,33,Woman in Gold,3.1
163,33,Sherlock Holmes,8.1
164,33,Don Jon,6
165,34,The Amazing Spider-Man,4.7
166,34,Lowriders,6
167,34,Yoga Hosers,7.9
168,34,Fool's Gold,4.3
169,34,Ocean's Thirteen,2.7
170,35,Forushande,7.6
171,35,Men in Black 3,4.8
172,35,Bride Wars,7.9
173,35,Friday the 13th,7.5
174,35,What's Your Number?,7.2
175,36,13 Hours,8.2
176,36,Coherence,4.5
177,36,Relatos salvajes,4.9
178,36,War on Everyone,3.9
179,36,Me and Earl and the Dying Girl,4.9
180,37,Indiana Jones and the Kingdom of the Crystal Skull,3.8
181,37,Transpecos,7.9
182,37,The Stakelander,8.4
183,37,Planet Terror,5.4
184,37,The Incredible Hulk,6.2
185,38,American Gangster,2.8
186,38,Scouts Guide to the Zombie Apocalypse,9.9
187,38,The Disappointments Room,7.6
188,38,Mr. Brooks,6.5
189,38,X-Men Origins: Wolverine,9.7
190,39,Grown Ups,7.3
191,39,RoboCop,4.7
192,39,The Boy Next Door,3.6
193,39,Grimsby,2.3
194,39,Across the Universe,8.1
195,40,The Best of Me,4.5
196,40,The Princess and the Frog,2.8
197,40,Crawlspace,7.8
198,40,Brave,3.5
199,40,Lovesong,6.3
200,41,The VVitch: A New-England Folktale,7.9
201,41,Paul,6.3
202,41,Fallen,8.6
203,41,The Invitation,7.8
204,41,Man of Steel,7.9
205,42,No Strings Attached,2
206,42,Manchester by the Sea,9.6
207,42,Lucky Number Slevin,8.3
208,42,Nymphomaniac: Vol. II,4.7
209,42,Split,2.7
210,43,This Is the End,8.3
211,43,X-Men Origins: Wolverine,5.3
212,43,Martyrs,4.1
213,43,Queen of Katwe,8.2
214,43,Tinker Tailor Soldier Spy,5.2
215,44,Watchmen,3.7
216,44,Real Steel,7.4
217,44,A Quiet Passion,3.1
218,44,Forgetting Sarah Marshall,9
219,44,The Accountant,6.4
220,45,Mother's Day,9
221,45,Fantastic Mr. Fox,8.6
222,45,Trust,9.6
223,45,Spider-Man 3,9.4
224,45,Piranha 3D,7
225,46,Dope,7.6
226,46,The Twilight Saga: Breaking Dawn - Part 1,6.1
227,46,Woman in Gold,4.9
228,46,Paris pieds nus,6.6
229,46,Rescue Dawn,6
230,47,The Host,5.2
231,47,The Dark Knight Rises,8
232,47,Mad Max: Fury Road,4.7
233,47,X-Men Origins: Wolverine,9.5
234,47,"I, Daniel Blake",5.8
235,48,This Is the End,9.1
236,48,Slither,9.6
237,48,Scott Pilgrim vs. the World,2.8
238,48,Dredd,6.5
239,48,Pompeii,3.9
240,49,Ghostbusters,3
241,49,Pirates of the Caribbean: At World's End,8.2
242,49,Finding Dory,9.2
243,49,300: Rise of an Empire,3.5
244,49,Superbad,4.9
245,50,The Dark Knight,6.3
246,50,Marie Antoinette,3.8
247,50,Zoolander 2,2
248,50,American Sniper,5.3
249,50,Sausage Party,7.9
250,51,The Perks of Being a Wallflower,7.4
251,51,Super,5.5
252,51,The Avengers,4.3
253,51,Kick-Ass 2,4.7
254,51,The Walk,8.9
255,52,The Host,8.1
256,52,The Girl with the Dragon Tattoo,6
257,52,Crawlspace,6.7
258,52,Solace,9.3
259,52,The Help,4.3
260,53,A Dark Song,9.4
261,53,Evil Dead,9.6
262,53,Iris,7.7
263,53,Changeling,6.1
264,53,Nine Lives,6
265,54,Mr. Right,2.3
266,54,Changeling,3.4
267,54,Seven Pounds,3.4
268,54,Point Break,8.5
269,54,Lucy,2.4
270,55,Hairspray,3.3
271,55,The Twilight Saga: Eclipse,3.9
272,55,Let's Be Cops,2.8
273,55,Insurgent,7.8
274,55,Yoga Hosers,7.7
275,56,High-Rise,6.1
276,56,The Kings of Summer,2.6
277,56,Don Jon,2.6
278,56,Dear Zindagi,8.8
279,56,Angry Birds,3.7
280,57,She's Out of My League,9.6
281,57,The Mummy: Tomb of the Dragon Emperor,6.4
282,57,Resident Evil: The Final Chapter,4.6
283,57,Life as We Know It,4.2
284,57,Ender's Game,8.3
285,58,Raw (II),6.3
286,58,Vincent N Roxxy,6.7
287,58,Inland Empire,6.8
288,58,The Prestige,3.6
289,58,Coherence,3
290,59,Bad Moms,7.9
291,59,The Last Face,6.3
292,59,The Age of Adaline,8.5
293,59,The Mummy: Tomb of the Dragon Emperor,9.1
294,59,The Fountain,3.3
295,60,Why Him?,4.3
296,60,Hanna,4.8
297,60,Endless Love,8.3
298,60,Good Kids,9.8
299,60,Arrival,3.4
300,61,The Prestige,6.2
301,61,Dear White People,6.9
302,61,Into the Forest,3.6
303,61,The Princess and the Frog,9.9
304,61,Nightcrawler,7.2
305,62,That Awkward Moment,7.1
306,62,This Beautiful Fantastic,4.2
307,62,Fast Five,6.8
308,62,Megamind,4.7
309,62,Argo,2
310,63,Demain tout commence,3.2
311,63,Pan's Labyrinth,5.3
312,63,It Follows,4.1
313,63,"Hail, Caesar!",6.5
314,63,La tortue rouge,7.7
315,64,After Earth,2.4
316,64,The Fall,6.3
317,64,My Big Fat Greek Wedding 2,5.3
318,64,Harry Potter and the Order of the Phoenix,5.5
319,64,The Help,3.1
320,65,Moana,2.5
321,65,The Help,9.4
322,65,Ted 2,2.2
323,65,Super,2.2
324,65,Green Lantern,5.7
325,66,Blackhat,8.9
326,66,Knight of Cups,8.6
327,66,The Neighbor,5.3
328,66,Fallen,9.7
329,66,Nightcrawler,3.7
330,67,Clash of the Titans,6.7
331,67,Don Jon,7.4
332,67,Bleed for This,8.4
333,67,Love & Other Drugs,7.7
334,67,Keanu,5.4
335,68,Evil Dead,7.1
336,68,Revolutionary Road,3.9
337,68,Law Abiding Citizen,6.8
338,68,Begin Again,3.8
339,68,The First Time,8.6
340,69,The Boy Next Door,4.2
341,69,Transcendence,6.8
342,69,He's Just Not That Into You,9.2
343,69,The Age of Shadows,6.6
344,69,Dracula Untold,7.6
345,70,Grimsby,4
346,70,Final Destination 5,6.5
347,70,Queen of Katwe,6.4
348,70,Ghostbusters,3
349,70,The Neon Demon,5
350,71,Centurion,8.5
351,71,What's Your Number?,8.4
352,71,Looper,2.5
353,71,Sweeney Todd: The Demon Barber of Fleet Street,9.7
354,71,The Tree of Life,2.7
355,72,The Fighter,7.7
356,72,Tracktown,5.8
357,72,I Origins,2.9
358,72,Don't Think Twice,7.2
359,72,Robin Hood,7.9
360,73,Eddie the Eagle,8.8
361,73,The Conjuring 2,4.2
362,73,Eye in the Sky,3.9
363,73,Lída Baarová,9.8
364,73,Ratatouille,5.4
365,74,Olympus Has Fallen,3.1
366,74,Despicable Me,3.1
367,74,Life of Pi,7.5
368,74,I Am Number Four,9.9
369,74,Cloud Atlas,5.5
370,75,Deadpool,7.7
371,75,World War Z,7.8
372,75,A Dark Song,9.7
373,75,Nightcrawler,8.6
374,75,Zoolander 2,5
375,76,Genius,9.1
376,76,Stake Land,4.6
377,76,The Karate Kid,5.5
378,76,Teenage Mutant Ninja Turtles,8.5
379,76,Guardians of the Galaxy,8.3
380,77,A Walk Among the Tombstones,5.2
381,77,Miss Peregrine's Home for Peculiar Children,5.6
382,77,You Don't Mess with the Zohan,4.8
383,77,A Monster Calls,2.9
384,77,Idiocracy,5
385,78,The Fault in Our Stars,5.5
386,78,The Intent,4
387,78,Barbershop: The Next Cut,3.5
388,78,Mommy,8.4
389,78,Trust,5.3
390,79,Zack and Miri Make a Porno,7.4
391,79,It Follows,4.8
392,79,Dope,4.7
393,79,Exposed,9.1
394,79,Mother's Day,5.1
395,80,Centurion,6.7
396,80,The Hunger Games: Mockingjay - Part 2,4.8
397,80,Snow White and the Huntsman,5.9
398,80,Kung Fu Panda 3,8.5
399,80,Mamma Mia!,5.9
400,81,Relatos salvajes,2
401,81,Red Dawn,8.4
402,81,King Cobra,7.2
403,81,Inception,7.8
404,81,Mr. Church,6.4
405,82,The Neighbor,6.6
406,82,Florence Foster Jenkins,2.6
407,82,2012,5.1
408,82,How to Be Single,6
409,82,Elysium,9.1
410,83,True Grit,2.5
411,83,Coraline,6.2
412,83,Lovesong,2.4
413,83,In Time,9.2
414,83,Turbo Kid,4.9
415,84,Riddick,5
416,84,Fury,2.4
417,84,Green Lantern,5.3
418,84,The Three Musketeers,5.5
419,84,Hush,7.5
420,85,Lincoln,5.5
421,85,Toy Story 3,7.8
422,85,Minions,7.8
423,85,A Street Cat Named Bob,8.5
424,85,Green Lantern,9.2
425,86,The Bourne Ultimatum,4.8
426,86,The Human Centipede (First Sequence),9.9
427,86,The Human Centipede (First Sequence),7.6
428,86,21,8.6
429,86,Notorious,9.8
430,87,Loving,2.6
431,87,Kicks,6
432,87,Just Go with It,2.1
433,87,Up,7.1
434,87,Focus,4
435,88,Half of a Yellow Sun,9.9
436,88,Centurion,7
437,88,Criminal,8.1
438,88,Elle,8.6
439,88,Paterson,3.5
440,89,Their Finest,8.9
441,89,Begin Again,6.8
442,89,Patriots Day,6.5
443,89,August Rush,6
444,89,Lowriders,8.6
445,90,The Blackcoat's Daughter,3.1
446,90,Skyfall,7
447,90,Funny Games,3.4
448,90,X-Men: Days of Future Past,4.7
449,90,Terminator Salvation,2.2
450,91,Mamma Mia!,4.6
451,91,Need for Speed,8.5
452,91,The Gift,7.7
453,91,The Happening,5.4
454,91,Chappie,8.4
455,92,Sherlock Holmes: A Game of Shadows,6.2
456,92,Transcendence,9.5
457,92,Dredd,6.5
458,92,Hunt for the Wilderpeople,6.5
459,92,Forgetting Sarah Marshall,6.7
460,93,Bridge of Spies,8.9
461,93,Pineapple Express,7.4
462,93,Rules Don't Apply,7.8
463,93,The Hobbit: The Battle of the Five Armies,8.2
464,93,Independence Day: Resurgence,4.2
465,94,Gran Torino,3.9
466,94,Nine Lives,6.1
467,94,Tramps,7.8
468,94,Lucky Number Slevin,8.9
469,94,Fantastic Four,3.6
470,95,Man of Steel,6.2
471,95,Split,5
472,95,Pirates of the Caribbean: On Stranger Tides,9.5
473,95,Australia,9.8
474,95,Keanu,8
475,96,King Cobra,9.4
476,96,Collateral Beauty,9.8
477,96,The Purge,7
478,96,In Bruges,8.7
479,96,The Founder,8.7
480,97,Lucy,7.6
481,97,The Do-Over,8.2
482,97,The Midnight Meat Train,2.3
483,97,The Imaginarium of Doctor Parnassus,4
484,97,The A-Team,2.5
485,98,Talladega Nights: The Ballad of Ricky Bobby,9
486,98,The Gift,5.6
487,98,Elysium,6.1
488,98,Sleeping with Other People,5.2
489,98,The Break-Up,6.9
490,99,Sex and the City 2,4.8
491,99,Chef,4.8
492,99,The Three Musketeers,2.4
493,99,Morgan,4.7
494,99,Green Lantern,2.3
495,100,Mission: Impossible - Ghost Protocol,7.7
496,100,Kick-Ass,2.9
497,100,Captain America: The First Avenger,3.1
498,100,Independence Day: Resurgence,8.7
499,100,The Devil Wears Prada,3.9
500,101,Popstar: Never Stop Never Stopping,7.5
501,101,Vampire Academy,4.2
502,101,Final Girl,3.2
503,101,Looper,8.5
504,101,Across the Universe,5.8
505,102,Goosebumps,2.2
506,102,The Conjuring,4.4
507,102,The Hobbit: The Battle of the Five Armies,2.9
508,102,The Dressmaker,5.7
509,102,The Spectacular Now,5.8
510,103,Lucy,4.1
511,103,Angry Birds,9.4
512,103,Good Kids,5.5
513,103,Hell or High Water,9.5
514,103,Sex and the City,5.9
515,104,Stardust,9
516,104,The Blackcoat's Daughter,8.6
517,104,Mr. Brooks,4.7
518,104,Green Room,3.2
519,104,Dope,9.3
520,105,Frantz,6.5
521,105,Resident Evil: Retribution,7.2
522,105,I.T.,5.7
523,105,Megamind,5
524,105,The Wolverine,4.5
525,106,42,7
526,106,Taken,2.7
527,106,The Hobbit: The Desolation of Smaug,8.6
528,106,Unknown,8.6
529,106,The Hobbit: The Battle of the Five Armies,6.8
530,107,Mine,8.2
531,107,Underworld: Rise of the Lycans,6.8
532,107,We're the Millers,4.2
533,107,Salt,2.2
534,107,The A-Team,9.5
535,108,Ant-Man,7.7
536,108,Hanna,9.4
537,108,The First Time,4.8
538,108,Seventh Son,4.1
539,108,Imperium,5.6
540,109,Dark Places,4.1
541,109,Sausage Party,2.8
542,109,Prisoners,4.2
543,109,The Social Network,3.5
544,109,The Interview,7.1
545,110,Dredd,3
546,110,The Ticket,8.6
547,110,Pitch Perfect 2,8.1
548,110,The Drop,7.3
549,110,Final Girl,4.3
550,111,Transpecos,2.6
551,111,Deja Vu,7.8
552,111,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",8.1
553,111,Taken,9.7
554,111,The Family,5.3
555,112,Diary of a Wimpy Kid: Dog Days,3.1
556,112,Daddy's Home,9.3
557,112,The Stakelander,2.5
558,112,The Mist,3.4
559,112,The Gambler,7
560,113,Kickboxer: Vengeance,3.3
561,113,The Babysitters,8.1
562,113,Grindhouse,7
563,113,Friend Request,4.2
564,113,A Walk Among the Tombstones,3.4
565,114,Into the Wild,7.1
566,114,Turbo Kid,7.2
567,114,Allegiant,7.2
568,114,Old Boy,8.8
569,114,Carol,8.3
570,115,Gold,6.9
571,115,No Escape,3.1
572,115,We're the Millers,3.4
573,115,Sherlock Holmes: A Game of Shadows,9.5
574,115,The Internship,7.1
575,116,USS Indianapolis: Men of Courage,8.1
576,116,Triple 9,2.6
577,116,The Matchbreaker,6.9
578,116,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,4.1
579,116,The Kings of Summer,7.2
580,117,Fantastic Four,4
581,117,Pride and Prejudice and Zombies,5.5
582,117,Bridesmaids,7.9
583,117,The Girl with the Dragon Tattoo,4.5
584,117,Diary of a Wimpy Kid: Dog Days,8.5
585,118,This Means War,3
586,118,Trainwreck,7.3
587,118,Knock Knock,5.1
588,118,Bronson,3.1
589,118,Suite Française,3.7
590,119,Notorious,8
591,119,Their Finest,3.4
592,119,Viral,9.3
593,119,The Last Face,9.9
594,119,Blended,4
595,120,Funny Games,2.3
596,120,Iris,9.8
597,120,Lone Survivor,3.1
598,120,Midnight in Paris,6.5
599,120,The Master,4.3
600,121,Law Abiding Citizen,5.3
601,121,Maze Runner: The Scorch Trials,7.4
602,121,Faster,3.4
603,121,The Invitation,4
604,121,Law Abiding Citizen,5.9
605,122,Coherence,4.9
606,122,The Skin I Live In,8.4
607,122,Macbeth,9.8
608,122,My Big Fat Greek Wedding 2,2.8
609,122,Dear Zindagi,9.7
610,123,City of Tiny Lights,8.3
611,123,Dawn of the Planet of the Apes,7.1
612,123,The Lovely Bones,3.3
613,123,Cars,5.1
614,123,Pain & Gain,2
615,124,Handsome Devil,6.1
616,124,The Bad Batch,6.9
617,124,Snow White and the Huntsman,5
618,124,Iron Man,4.2
619,124,The Girl with All the Gifts,4.8
620,125,The Mist,8.8
621,125,Olympus Has Fallen,4.7
622,125,Sex and the City,6.6
623,125,The Hunger Games: Catching Fire,5.9
624,125,Total Recall,4.8
625,126,Raw (II),7.7
626,126,Paul,7.4
627,126,Detour,4.7
628,126,The Gunman,2.9
629,126,Collateral Beauty,8.6
630,127,Focus,5.1
631,127,Friday the 13th,8.5
632,127,Triple 9,4.8
633,127,Perfume: The Story of a Murderer,3.8
634,127,Interstellar,5.4
635,128,Perfume: The Story of a Murderer,9.3
636,128,Crawlspace,4.4
637,128,Friends with Benefits,7.7
638,128,Free Fire,8.4
639,128,San Andreas,2.5
640,129,The Twilight Saga: Breaking Dawn - Part 1,8.1
641,129,Don't Fuck in the Woods,9.1
642,129,American Hustle,6.1
643,129,The Void,5.5
644,129,She's the Man,4.8
645,130,The Internship,5.1
646,130,Frantz,3
647,130,Everest,7.8
648,130,Cinderella,9.5
649,130,The Jungle Book,3.6
650,131,Mindhorn,8.7
651,131,The Mummy: Tomb of the Dragon Emperor,2.7
652,131,Home,4.3
653,131,Bacalaureat,5.4
654,131,Nymphomaniac: Vol. II,9.3
655,132,Her,2
656,132,Furious 6,9.6
657,132,You Don't Mess with the Zohan,2
658,132,Elysium,4.1
659,132,The Fast and the Furious: Tokyo Drift,3.1
660,133,Folk Hero & Funny Guy,3.2
661,133,The Last Witch Hunter,8.4
662,133,Grindhouse,2.1
663,133,The Host,8.5
664,133,Stardust,4.9
665,134,King Cobra,3.2
666,134,Goosebumps,9.1
667,134,Man of Steel,3.6
668,134,Imperium,7.7
669,134,The Assignment,8.8
670,135,Brimstone,4.5
671,135,The Interview,3.3
672,135,The Dressmaker,3.7
673,135,Vacation,6.7
674,135,Monsters University,4.2
675,136,Blue Valentine,2.4
676,136,About Time,4.4
677,136,Unstoppable,8.6
678,136,Paul,8.8
679,136,The Dark Knight Rises,4.3
680,137,Bacalaureat,8.6
681,137,Iris,2.6
682,137,Lights Out,7.4
683,137,Pompeii,6.2
684,137,300,8.4
685,138,The Intent,7.8
686,138,Doctor Strange,9.5
687,138,Furious Seven,3.4
688,138,Neighbors,3.9
689,138,Just Go with It,3.9
690,139,The Survivalist,8.6
691,139,Enemy,9.4
692,139,Hachi: A Dog's Tale,4
693,139,Lída Baarová,4.5
694,139,Transformers: Dark of the Moon,4.6
695,140,Pixels,6.8
696,140,The Thinning,5.3
697,140,The Autopsy of Jane Doe,9.6
698,140,Elle,9.5
699,140,300: Rise of an Empire,4.5
700,141,Conan the Barbarian,9.8
701,141,Max,2.2
702,141,Gone Baby Gone,9.5
703,141,Masterminds,3.9
704,141,Spring Breakers,8.4
705,142,Dredd,2.8
706,142,Sleeping with Other People,7.8
707,142,The Mortal Instruments: City of Bones,8.9
708,142,Demolition,8.3
709,142,The A-Team,2.7
710,143,Battleship,4.1
711,143,Lincoln,7.4
712,143,Midnight Special,8.1
713,143,The Grand Budapest Hotel,9
714,143,Warrior,3.7
715,144,Harry Potter and the Deathly Hallows: Part 2,2.7
716,144,X-Men: The Last Stand,7.6
717,144,The World's End,3
718,144,The Twilight Saga: Breaking Dawn - Part 2,6.7
719,144,Dredd,2.3
720,145,I Spit on Your Grave,4.5
721,145,High-Rise,8.8
722,145,Captain Phillips,8
723,145,Inside Man,8.9
724,145,The Twilight Saga: Breaking Dawn - Part 2,2.3
725,146,Sucker Punch,2.9
726,146,Grimsby,5.3
727,146,Brave,9.2
728,146,Coherence,9.1
729,146,The Other Boleyn Girl,3
730,147,Blue Valentine,8.7
731,147,Loving,7.2
732,147,Neighbors,3.5
733,147,Terminator Salvation,6.8
734,147,The Expendables 2,8
735,148,Live by Night,9.9
736,148,Lída Baarová,5.9
737,148,Rush,7.9
738,148,The Hills Have Eyes,8.3
739,148,Lady Macbeth,6.1
740,149,Love & Friendship,2.1
741,149,2307: Winter's Dream,8.8
742,149,Sweeney Todd: The Demon Barber of Fleet Street,7.7
743,149,Predestination,4.1
744,149,Transformers: Age of Extinction,5.4
745,150,Cinderella,2.6
746,150,Underworld: Rise of the Lycans,5.1
747,150,Changeling,5.2
748,150,You Don't Mess with the Zohan,6.4
749,150,Transformers,3.1
750,151,Wanted,4
751,151,Absolutely Anything,4.4
752,151,The Walk,7
753,151,Bronson,2.1
754,151,Seven Pounds,8.2
755,152,Mad Max: Fury Road,8.9
756,152,Contratiempo,7.6
757,152,The Boy in the Striped Pyjamas,7.4
758,152,Black Mass,3.2
759,152,Prisoners,9
760,153,Coherence,8.7
761,153,Deuces,6.9
762,153,The Fountain,6.6
763,153,Pacific Rim,2.5
764,153,Divergent,9.2
765,154,The Great Wall,8.4
766,154,Clown,4
767,154,The Survivalist,3.1
768,154,We're the Millers,5.3
769,154,In Bruges,6.4
770,155,The Purge: Election Year,7.8
771,155,Thor,5.5
772,155,Shame,9.4
773,155,Detour,6.9
774,155,Diary of a Wimpy Kid: Dog Days,5.2
775,156,No Escape,3.1
776,156,Maleficent,8.9
777,156,The Skin I Live In,3.1
778,156,Trolls,4.2
779,156,The Twilight Saga: Breaking Dawn - Part 2,6.5
780,157,The Intent,8.4
781,157,Hardcore Henry,6.7
782,157,Star Wars: Episode VII - The Force Awakens,6.1
783,157,Lovesong,9.6
784,157,Mr. Right,2
785,158,Goksung,4.6
786,158,I.T.,6.5
787,158,The First Time,2.8
788,158,The Guest,9.8
789,158,It's Only the End of the World,9.8
790,159,Couples Retreat,5.6
791,159,Money Monster,8.4
792,159,Ted 2,8.7
793,159,Spring Breakers,2.7
794,159,Wreck-It Ralph,3.3
795,160,Ma vie de Courgette,7.3
796,160,Godzilla,3.9
797,160,Avengers: Age of Ultron,8.5
798,160,Handsome Devil,3.4
799,160,I Spit on Your Grave,9.2
800,161,Carrie,2.7
801,161,Resident Evil: Afterlife,2.8
802,161,Legend,6.3
803,161,The Adjustment Bureau,4.9
804,161,The Survivalist,6.2
805,162,Sleeping with Other People,7.2
806,162,Victor Frankenstein,6.7
807,162,The Babadook,5.8
808,162,The Green Inferno,9.9
809,162,Apocalypto,4.2
810,163,Sucker Punch,3.6
811,163,Dangal,7.6
812,163,Rock of Ages,2.2
813,163,The Assignment,8.2
814,163,Guardians of the Galaxy,8.3
815,164,Inception,7.7
816,164,Black Swan,6.7
817,164,Focus,8.9
818,164,The Hateful Eight,2.3
819,164,The 9th Life of Louis Drax,8.5
820,165,Pirates of the Caribbean: On Stranger Tides,4.9
821,165,Viking,5.8
822,165,Midnight Special,2.6
823,165,Exodus: Gods and Kings,3.3
824,165,Hostel: Part II,2.1
825,166,Ender's Game,8.3
826,166,The Choice,8.3
827,166,Source Code,6.8
828,166,Lady in the Water,4.4
829,166,Annie,9.4
830,167,Folk Hero & Funny Guy,7.4
831,167,Ant-Man,2.1
832,167,Clown,4
833,167,Child 44,5.5
834,167,The Counselor,4.7
835,168,Stardust,8.2
836,168,A Million Ways to Die in the West,5.7
837,168,Nymphomaniac: Vol. II,4
838,168,Below Her Mouth,7.6
839,168,Jack Reacher: Never Go Back,8
840,169,Step Up 2: The Streets,5.9
841,169,Frantz,9.4
842,169,Lady Macbeth,2.1
843,169,Green Room,6
844,169,42,2.9
845,170,RocknRolla,6.7
846,170,Ballerina,7.1
847,170,Rupture,8
848,170,Unbroken,8.7
849,170,Children of Men,5.4
850,171,Man of Steel,3.3
851,171,Only for One Night,9.3
852,171,Maze Runner: The Scorch Trials,4.4
853,171,The Road,8.9
854,171,The Prestige,8
855,172,Birdman or (The Unexpected Virtue of Ignorance),9.2
856,172,Knocked Up,2.8
857,172,Brooklyn,2.6
858,172,Oz the Great and Powerful,9.3
859,172,The Levelling,4.8
860,173,The Blind Side,2.7
861,173,Hot Fuzz,4.6
862,173,Regression,3.2
863,173,Free State of Jones,4.4
864,173,The Daughter,5.5
865,174,Silver Linings Playbook,7.8
866,174,The Huntsman: Winter's War,5.1
867,174,Jackie,6.7
868,174,Juno,2.3
869,174,Pet,3.2
870,175,The Illusionist,7.9
871,175,Spider-Man 3,4.2
872,175,"Hello, My Name Is Doris",8
873,175,Fast & Furious,3.2
874,175,Imperium,8.1
